"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp","restudyresp","restudyacc","restudyrtfirst","restudyrt","response","testacc","rtfirst","rt"
"1725","bacon","feud",73,2.487,14,1,1,31,0.775,NA,NA,NA,NA,"feud",1,7.388,10.142
"1725","anger","decay",76,2.447,23,1,1,33,0.825,NA,NA,NA,NA,"decay",1,10.111,13.657
"1725","pork","emperor",64,2.055,34,1,0,26,0.65,NA,NA,NA,NA,"chop",0,3.052,5.501
"1725","copy","bedroom",76,2.662,38,1,0,34,0.85,NA,NA,NA,NA,"bedroom",1,5.092,8.424
"1725","smother","surgery",8,10.72,40,1,1,1,0.025,NA,NA,NA,NA,"surgery",1,6.805,10.553
"1725","date","laugh",80,2.936,8,1,1,35,0.875,NA,NA,NA,NA,"fun",0,4.807,8.789
"1725","replace","roach",22,2.174,3,1,0,6,0.15,NA,NA,NA,NA,"skip",0,2.036,4.272
"1725","link","crisis",32,2.094,7,1,1,13,0.325,NA,NA,NA,NA,"skip",0,2.122,4.406
"1725","fee","chowder",72,3.238,18,1,1,29,0.725,NA,NA,NA,NA,"chowder",1,1.879,5.847
"1725","mill","feast",36,1.974,19,1,1,15,0.375,NA,NA,NA,NA,"feast",1,10.94,13.839
"1725","capital","figure",85,2.862,2,1,0,38,0.95,NA,NA,NA,NA,"figure",1,10.18,13.631
"1725","visit","glove",27,2.088,35,1,1,7,0.175,NA,NA,NA,NA,"skip",0,3.593,6.047
"1725","biology","temper",37,3.973,1,1,0,16,0.4,NA,NA,NA,NA,"skip",0,9.85,12.87
"1725","plant","worm",42,1.944,16,1,1,21,0.525,NA,NA,NA,NA,"worm",1,2.345,4.958
"2252","mill","feast",1,3.135,23,1,0,5,0.125,NA,NA,NA,NA,"saw",0,4.031,5.958
"2252","chicken","beet",1,1.821,34,1,0,37,0.925,NA,NA,NA,NA,"brick",0,2.663,4.148
"2252","plant","worm",1,1.747,31,1,0,13,0.325,NA,NA,NA,NA,"egg",0,1.834,2.817
"2252","remind","foam",1,1.923,7,1,0,35,0.875,NA,NA,NA,NA,"cage",0,4.041,5.184
"2252","anger","decay",1,1.989,22,1,1,8,0.2,NA,NA,NA,NA,"beg",0,4.432,5.374
"2252","climax","saucer",1,1.65,37,1,0,25,0.625,NA,NA,NA,NA,"newt",0,3.833,5.305
