"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1297","smother","surgery",1,3.787,11,2,1,31,0.775,"fire",0,NA,1.619
"1297","chicken","beet",1,8.598,12,2,0,32,0.8,"",NA,NA,NA
"1297","prison","loaf",1,1.723,13,2,1,19,0.475,"rbead",0,NA,2.181
"1297","find","clown",1,1.541,14,2,1,27,0.675,"file",0,NA,3.445
"1297","need","faucet",1,1.609,15,2,0,16,0.4,"",NA,NA,NA
"1297","fee","chowder",1,13.282,16,2,1,13,0.325,"flat",0,NA,3.462
"1297","copy","bedroom",1,2.087,17,2,1,3,0.075,"write",0,NA,3.847
"1297","shrink","mafia",1,2.173,18,2,1,23,0.575,"wrap",0,NA,2.757
"1297","fan","feature",1,1.787,19,2,1,5,0.125,"switch",0,NA,3.056
"1297","process","joker",1,1.901,20,2,1,7,0.175,"end",0,NA,1.725
"1297","mill","feast",1,2.688,21,2,0,2,0.05,"",NA,NA,NA
"1297","bias","sirloin",1,1.963,22,2,0,8,0.2,"",NA,NA,NA
"1297","anger","decay",1,2.015,23,2,1,33,0.825,"test",0,NA,4.432
"1297","rock","milk",1,5.178,24,2,1,1,0.025,"salt",0,NA,3.658
"1297","banner","glide",1,1.478,25,2,1,29,0.725,"pole",0,NA,1.919
"1297","glue","force",3,2.617,26,2,0,36,0.9,"",NA,NA,NA
"1297","biology","temper",1,1.508,27,2,0,12,0.3,"",NA,NA,NA
"1297","bleach","ruin",15,2.809,28,2,0,38,0.95,"",NA,NA,NA
"1297","visit","glove",1,2.61,29,2,0,24,0.6,"",NA,NA,NA
"1297","date","laugh",1,1.746,30,2,1,21,0.525,"ranch",0,NA,2.501
"1297","caring","skirt",1,1.902,31,2,0,18,0.45,"",NA,NA,NA
"1297","nerve","bumper",1,1.58,32,2,1,17,0.425,"tip",0,NA,2.48
"1297","pork","emperor",61,2.485,33,2,0,40,1,"",NA,NA,NA
"1297","risk","zero",1,1.855,34,2,0,22,0.55,"",NA,NA,NA
"1297","replace","roach",9,3.376,35,2,1,37,0.925,"reuse",0,NA,7.103
"1297","grip","beach",1,2.014,36,2,0,34,0.85,"",NA,NA,NA
"1297","calf","annoy",1,2.251,37,2,0,6,0.15,"",NA,NA,NA
"1297","collect","loyalty",1,1.476,38,2,0,26,0.65,"",NA,NA,NA
"1297","knock","otter",1,1.922,39,2,0,10,0.25,"",NA,NA,NA
"1297","pea","bathtub",1,1.585,40,2,0,28,0.7,"",NA,NA,NA
"1297","rock","milk",1,5.178,1,3,1,1,0.025,"salt",0,NA,2.861
"1297","find","clown",1,1.541,2,3,1,27,0.675,"rescue",0,NA,3.23
"1297","prison","loaf",1,1.723,3,3,1,19,0.475,"bread",0,NA,3.183
"1297","banner","glide",1,1.478,4,3,1,29,0.725,"pole",0,NA,2.686
"1297","need","faucet",1,1.609,5,3,0,16,0.4,"",NA,NA,NA
"1297","pork","emperor",61,2.485,6,3,0,40,1,"",NA,NA,NA
"1297","date","laugh",1,1.746,7,3,1,21,0.525,"ranch",0,NA,3.132
"1297","link","crisis",2,3.855,8,3,1,35,0.875,"present",0,NA,2.097
"1297","climax","saucer",1,1.994,9,3,0,4,0.1,"",NA,NA,NA
"1297","chicken","beet",1,8.598,10,3,0,32,0.8,"",NA,NA,NA
"1297","replace","roach",9,3.376,11,3,1,37,0.925,"reuse ",0,NA,3.765
"1297","fee","chowder",1,13.282,12,3,1,13,0.325,"file",0,NA,6.574
"1297","capital","figure",1,1.835,13,3,0,20,0.5,"",NA,NA,NA
"1297","glue","force",3,2.617,14,3,0,36,0.9,"",NA,NA,NA
