subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt
15,fee,chowder,2,0.915141551,35,4,1,2,0.05,serloin,0,9.822621094,11.86258388
15,want,ascent,21,0.698547814,36,4,0,11,0.275,,,,
15,date,laugh,100,1.565264344,37,4,0,39,0.975,,,,
15,chicken,beet,100,0.731783847,38,4,1,34,0.85,beet,1,2.665352834,3.577411172
15,process,joker,9,2.548891207,39,4,1,4,0.1,serlion,0,7.62070317,38.33214993
15,link,crisis,65,5.399759642,40,4,1,24,0.6,faucet,0,10.78698726,17.98307616
16,mill,feast,48,1.181939771,1,4,1,9,0.225, feast,0,12.58526011,71.88619359
16,replace,roach,16,3.115905,2,4,1,1,0.025,roach,1,2.042419492,2.975257649
16,remind,foam,52,1.281807883,3,4,1,17,0.425,skip,0,10.87281562,29.55301827
16,copy,bedroom,99,2.132198798,4,4,1,35,0.875,bedroom,1,1.545226909,3.04926596
16,link,crisis,89,1.748716728,5,4,1,31,0.775,crisis,1,0.765738601,1.981767663
16,grip,beach,47,1.615477777,6,4,0,6,0.15,,,,
16,knock,otter,57,2.249130159,7,4,1,23,0.575,otter,1,2.404979197,3.541154823
16,need,faucet,42,0.98189692,8,4,1,5,0.125,faucet,1,0.930636613,2.309622261
16,anger,decay,99,1.498806214,9,4,0,34,0.85,,,,
16,chicken,beet,50,2.399157807,10,4,0,14,0.35,,,,
16,collect,loyalty,57,3.332646099,11,4,0,22,0.55,,,,
16,bleach,ruin,100,1.348686515,12,4,0,38,0.95,,,,
16,fan,feature,47,2.065556551,13,4,1,7,0.175,feature,1,1.808469529,4.560155968
16,fee,chowder,52,1.04852698,14,4,0,18,0.45,,,,
16,banner,glide,49,2.365673107,15,4,0,10,0.25,,,,
16,rock,milk,66,1.798756949,16,4,0,28,0.7,,,,
16,visit,glove,52,2.932526721,17,4,1,21,0.525,glove,1,3.258192284,4.440525279
16,forest,knob,92,1.498694597,18,4,1,33,0.825,knob,1,1.23855287,1.998680485
16,plant,worm,100,0.965165956,19,4,1,37,0.925,worm,1,0.725659212,1.461679858
16,nerve,bumper,48,2.282226125,20,4,0,8,0.2,,,,
16,shrink,mafia,100,0.948532817,21,4,0,40,1,,,,
16,climax,saucer,24,1.648693379,22,4,1,3,0.075,saucer,1,1.728737332,4.344706801
16,risk,zero,50,3.399504204,23,4,1,13,0.325,zero,1,0.913133954,1.593303573
16,biology,temper,50,1.46545879,24,4,0,12,0.3,,,,
16,calf,annoy,89,1.665580542,25,4,0,32,0.8,,,,
16,smother,surgery,59,2.532445831,26,4,0,24,0.6,,,,
16,glue,force,62,1.331957796,27,4,0,26,0.65,,,,
16,pork,emperor,52,1.198557514,28,4,1,19,0.475,emperor,1,1.431920206,3.016006417
16,caring,skirt,39,1.63207788,29,4,0,4,0.1,,,,
16,prison,loaf,65,1.265153896,30,4,1,27,0.675,loaf,1,1.261092394,1.941154887
16,want,ascent,61,1.148623137,31,4,1,25,0.625,ascent,1,3.003940905,4.147966908
16,bias,sirloin,52,2.782447755,32,4,0,16,0.4,,,,
16,process,joker,52,3.132893196,33,4,0,20,0.5,,,,
16,capital,figure,50,2.049082177,34,4,1,15,0.375,figure,1,1.54732261,3.34737566
16,date,laugh,100,1.181875623,35,4,0,36,0.9,,,,
16,pea,bathtub,21,3.182596962,36,4,0,2,0.05,,,,
16,port,cinema,71,1.665624162,37,4,1,29,0.725,cinema,1,1.030470407,1.998670542
16,bullet,walkway,49,2.665923731,38,4,1,11,0.275,walkway,1,0.808773909,1.656759933
16,find,clown,72,1.865485154,39,4,0,30,0.75,,,,
16,bacon,feud,100,1.548877867,40,4,1,39,0.975,feud,1,0.793138586,1.604367742
17,grip,beach,50,3.9829452,1,4,0,13,0.325,,,,
17,remind,foam,57,3.032591878,2,4,1,24,0.6,skip,0,9.922970513,12.00900594
17,smother,surgery,50,1.115458434,3,4,0,15,0.375,,,,
17,glue,force,64,0.681867079,4,4,1,34,0.85,force,1,1.668484703,4.41245391
17,rock,milk,55,1.082086527,5,4,1,20,0.5,skip,0,4.597114277,5.613136949
17,calf,annoy,54,0.815124741,6,4,1,18,0.45,annoy,1,1.938681109,3.026708944
17,prison,loaf,41,0.765358108,7,4,0,7,0.175,,,,
17,process,joker,43,1.481887094,8,4,1,10,0.25,skip,0,3.169916468,4.444700998
17,bias,sirloin,57,1.348827968,9,4,0,25,0.625,,,,
17,biology,temper,45,1.732008652,10,4,0,11,0.275,,,,
17,bleach,ruin,100,0.94848183,11,4,0,39,0.975,,,,
17,fan,feature,53,1.148606788,12,4,1,16,0.4,feature,1,3.147351429,4.53744493
17,chicken,beet,55,0.781871185,13,4,0,19,0.475,,,,
17,visit,glove,41,0.715209158,14,4,1,8,0.2,skip,0,1.872912011,3.144907423
17,need,faucet,58,2.649225808,15,4,1,26,0.65,skip,0,1.706095133,2.786123819
17,bullet,walkway,73,2.099051841,16,4,0,37,0.925,,,,
17,plant,worm,100,1.098536419,17,4,1,40,1,grow,0,7.046793413,9.55080742
17,anger,decay,62,1.015405898,18,4,1,30,0.75,skip,0,1.406386874,2.198417362
17,risk,zero,54,0.68170607,19,4,0,17,0.425,,,,
17,want,ascent,29,0.581727303,20,4,0,1,0.025,,,,
17,link,crisis,55,0.78245332,21,4,0,21,0.525,,,,
17,replace,roach,63,0.848759972,22,4,0,31,0.775,,,,
17,caring,skirt,61,1.665360738,23,4,0,29,0.725,,,,
17,copy,bedroom,50,2.615878277,24,4,1,14,0.35,skip,0,2.339453184,4.318771185
