subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp
13,capital,figure,89,1.081844951,13,3,1,32,0.8
13,climax,saucer,15,1.014951549,14,3,0,5,0.125
13,mill,feast,10,1.18185422,15,3,0,1,0.025
13,chicken,beet,87,1.215272858,16,3,0,31,0.775
13,fan,feature,82,1.115334791,17,3,1,28,0.7
13,visit,glove,22,0.98178212,18,3,0,15,0.375
13,link,crisis,95,1.398571654,19,3,0,35,0.875
13,knock,otter,16,1.21522122,20,3,1,8,0.2
13,bias,sirloin,16,0.631716643,21,3,0,9,0.225
13,find,clown,100,1.415348486,22,3,1,38,0.95
13,nerve,bumper,40,0.848449792,23,3,0,23,0.575
13,rock,milk,100,0.748340775,24,3,0,39,0.975
13,want,ascent,23,1.131854718,25,3,0,17,0.425
13,risk,zero,81,0.798449006,26,3,0,27,0.675
13,port,cinema,20,1.165063596,27,3,1,14,0.35
13,bleach,ruin,96,0.731774984,28,3,1,36,0.9
13,bullet,walkway,99,1.532184301,29,3,0,37,0.925
13,need,faucet,14,0.815094338,30,3,1,4,0.1
13,caring,skirt,38,0.581600714,31,3,1,22,0.55
13,shrink,mafia,74,0.581748892,32,3,0,25,0.625
13,date,laugh,90,0.831727804,33,3,0,33,0.825
13,forest,knob,28,0.715338768,34,3,0,19,0.475
13,bacon,feud,86,0.681672526,35,3,1,30,0.75
13,copy,bedroom,50,0.331655158,36,3,1,24,0.6
13,remind,foam,17,0.815059058,37,3,1,10,0.25
13,anger,decay,100,0.698389382,38,3,1,40,1
13,calf,annoy,23,0.56513435,39,3,1,18,0.45
13,collect,loyalty,91,1.581884241,40,3,1,34,0.85
14,rock,milk,17,7.037071593,1,1,1,23,0.575
14,pea,bathtub,24,1.344335423,2,1,0,20,0.5
14,calf,annoy,6,3.382519328,3,1,1,5,0.125
